LWN,RWN,LWLS,RWRS,LWRE,RWLE,LWRH,LELH,RWLH,RERH,LHRHMN,LWRW,LERE,LEA,REA,RSA,LSA,LHTA,RHTA,ETRI,WTRI,HTRI,Pose
1127.5114,980.973,805.8114,762.3923,272.472,99.8098,249.2429,263.4635,318.6926,343.1049,1310.0696,351.0698,647.0031,107.3568,81.8326,9.1886,2.9077,86.9257,93.0743,331700.6735,182925.7658,47909.5321,Hands_Crossed
1115.4739,986.5658,810.366,766.5677,245.204,148.1418,259.0483,289.4564,334.9403,332.3387,1325.56,356.8669,708.0064,97.8032,81.3325,9.8348,6.4138,82.061,97.939,368589.7766,185172.1988,51480.2182,Hands_Crossed
1053.7955,1018.9529,827.8847,767.3852,191.0026,140.4315,299.5063,278.6862,300.2616,339.5909,1314.0595,367.72,697.0029,94.6242,83.6704,11.696,2.8644,85.663,94.337,359227.2678,187552.5672,54297.6437,Hands_Crossed
1072.263,1059.1549,782.9515,778.9737,267.3163,165.1938,290.9295,285.5538,273.4849,337.855,1324.0024,308.365,740.0676,93.6519,84.4022,13.2429,5.6611,86.5513,93.4487,386673.9711,162588.101,41572.8518,Hands_Crossed
883.8031,845.2467,747.2436,721.4,218.2773,146.0308,406.651,333.654,427.2821,410.1829,1252.2205,422.8026,750.0427,86.8637,76.2162,15.0394,1.8654,86.3077,93.6923,339932.7908,177260.2546,87574.0476,Hands_Crossed
903.217,872.305,744.2614,733.7063,209.2678,148.4756,428.1238,363.3291,429.9035,441.0726,1288.014,420.7434,761.2128,85.8663,79.5257,13.8096,3.9155,85.2238,94.7762,345766.0635,181469.4883,89611.9837,Hands_Crossed
200.085,174.0259,166.976,144.6928,96.8762,74.4312,85.7963,95.1315,82.0366,87.6584,261.6534,39.4081,202.0099,91.2116,69.7136,17.5549,19.9219,68.6619,111.3381,18730.6321,3674.2262,1499.4842,Hands_Crossed
822.8202,794.2197,790.9589,680.8825,191.815,109.6586,536.4923,396.869,506.5274,444.3253,1274.6078,525.001,662.3972,93.5178,67.3865,19.1333,10.5462,92.6029,87.3971,297576.4418,200774.6866,136797.8864,Hands_Crossed
885.9757,840.5248,760.0342,720.7732,139.2157,124.4588,424.4714,338.1612,428.3655,419.6725,1259.5723,433.2586,656.3048,90.9716,83.2608,9.7505,0.822,86.8226,93.1774,294481.9997,181088.2564,92268.885,Hands_Crossed
851.3172,853.8413,778.8517,722.3988,159.8812,119.2309,467.2098,359.9403,413.6194,417.0767,1260.6215,429.4205,678.1445,90.6087,82.2277,10.2669,1.3182,86.8647,93.1353,301161.2665,177157.7677,94203.0145,Hands_Crossed
884.514,830.3987,767.7317,733.6552,151.9079,136.4734,423.1182,355.5981,449.6943,422.8487,1262.5194,455.9748,699.3154,89.2266,83.0499,8.8318,2.1032,85.1296,94.8704,310555.5788,188553.3249,99343.5268,Hands_Crossed
769.4706,758.2137,606.5014,678.3841,253.6395,233.6579,600.3141,387.1253,504.6999,587.2052,1282.0837,352.9547,811.2817,68.5322,78.9647,17.2122,8.3282,76.5923,103.4077,334962.7069,131157.4821,96302.5114,Hands_Crossed
770.3765,784.2551,656.2088,705.2375,276.5249,185.5694,572.7966,376.5236,458.0764,512.2987,1253.8686,393.3955,810.6602,74.747,74.7031,19.028,4.1799,75.3672,104.6328,344561.7092,147926.3763,100324.0416,Hands_Crossed
782.4129,796.304,630.5712,697.9233,295.0966,201.2064,554.6332,337.2506,449.4374,525.0905,1256.816,360.6245,815.6592,72.4077,74.5296,20.681,4.0078,78.61,101.39,354328.8435,138573.4969,89188.2322,Hands_Crossed
787.0057,796.6838,618.819,728.8903,303.3892,180.7678,542.1227,365.5598,435.2298,512.289,1248.3907,355.2591,814.1259,73.894,77.6782,18.4086,5.8163,72.6808,107.3192,346725.4756,137073.067,85413.4879,Hands_Crossed
792.942,817.0881,611.1825,731.7985,299.553,177.5303,578.4332,365.5681,447.8761,529.8311,1288.0926,366.2267,808.2308,71.7112,77.4264,17.1754,5.8543,77.2638,102.7362,353596.869,143561.8613,92666.9361,Hands_Crossed
770.3778,778.3701,616.3968,716.8856,290.8006,174.6139,604.9149,380.6429,469.162,542.0415,1274.6938,393.4285,812.1607,71.5432,74.5323,18.614,5.109,73.5794,106.4206,346563.8848,147335.5006,104587.3038,Hands_Crossed
182.784,176.7258,151.0298,165.1938,73.6817,61.6117,70.6612,83.7377,78.2304,83.7257,249.1109,53.0848,187.1817,75.6939,84.5067,15.5396,18.6867,75.5108,104.4892,16874.734,4719.5153,1902.7879,Hands_Crossed
758.573,686.5399,664.8767,448.8842,304.171,224.0179,579.1692,606.644,704.8156,536.702,1324.5454,201.1219,710.376,105.691,45.7377,24.8019,11.9726,109.023,70.977,280706.0503,72044.9037,62632.5874,Hands_Crossed
655.9154,647.9668,648.7234,611.9453,275.8351,165.4237,589.0,546.5016,642.197,407.6788,1223.2306,463.3185,784.6031,79.6103,60.5447,13.8071,8.8256,88.7715,91.2285,299774.4711,141174.7785,142431.8129,Hands_Crossed
685.2365,687.0342,676.8043,591.0601,295.0424,163.4778,582.2414,569.2846,623.1613,411.1751,1254.2665,417.6374,794.3652,86.8751,59.427,16.6811,3.9291,91.342,88.658,312533.2261,136481.3935,125438.395,Hands_Crossed
752.7882,712.9039,705.0709,531.9887,258.3118,275.0891,551.088,571.0429,637.1091,470.4859,1293.1918,320.1156,819.6249,86.6173,60.0689,20.3955,5.1499,90.7332,89.2668,328599.8972,114510.4235,93939.409,Hands_Crossed
748.3134,717.4692,681.4873,575.4807,273.8047,219.7385,537.722,585.2769,635.6178,456.3968,1288.7242,384.6258,845.7547,84.4741,59.9542,21.2671,8.0158,90.3881,89.6119,337098.3019,136037.8595,112007.074,Hands_Crossed
784.914,718.3105,671.6286,638.8341,162.7421,198.1716,475.0853,366.7274,491.9726,395.7386,1202.0126,433.3774,702.3767,77.905,73.173,9.4035,8.1023,84.1241,95.8759,294525.0282,156117.5663,104666.7626,Hands_Crossed
820.3828,764.3775,688.8846,630.8922,168.8609,177.7667,435.3723,409.5656,434.015,392.6742,1197.1755,386.1671,719.611,87.5404,76.8299,10.758,7.5497,80.1608,99.8392,292969.6285,148482.2712,83300.4961,Hands_Crossed
